,cid,label,left,right,top,bottom,width,height,score
0,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,856,1176,483,629,320,146,0.97331697
1,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,856,1173,484,627,317,143,0.9797113
1,2,car,856,1176,483,629,320,146,0.97331697
2,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,686,1232,440,696,546,256,0.9955326
1,2,car,856,1173,484,627,317,143,0.9797113
2,2,car,856,1176,483,629,320,146,0.97331697
3,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,681,1237,442,699,556,257,0.9964422
1,2,car,686,1232,440,696,546,256,0.9955326
2,2,car,856,1173,484,627,317,143,0.9797113
3,2,car,856,1176,483,629,320,146,0.97331697
4,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,686,1234,441,699,548,258,0.99215996
1,2,car,681,1237,442,699,556,257,0.9964422
2,2,car,686,1232,440,696,546,256,0.9955326
3,2,car,856,1173,484,627,317,143,0.9797113
4,2,car,856,1176,483,629,320,146,0.97331697
5,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,688,1237,442,694,549,252,0.99510527
1,2,car,686,1234,441,699,548,258,0.99215996
2,2,car,681,1237,442,699,556,257,0.9964422
3,2,car,686,1232,440,696,546,256,0.9955326
4,2,car,856,1173,484,627,317,143,0.9797113
5,2,car,856,1176,483,629,320,146,0.97331697
6,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,681,1239,441,697,558,256,0.995661
1,2,car,688,1237,442,694,549,252,0.99510527
2,2,car,686,1234,441,699,548,258,0.99215996
3,2,car,681,1237,442,699,556,257,0.9964422
4,2,car,686,1232,440,696,546,256,0.9955326
5,2,car,856,1173,484,627,317,143,0.9797113
6,2,car,856,1176,483,629,320,146,0.97331697
7,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,682,1237,443,697,555,254,0.9964541
1,2,car,681,1239,441,697,558,256,0.995661
2,2,car,688,1237,442,694,549,252,0.99510527
3,2,car,686,1234,441,699,548,258,0.99215996
4,2,car,681,1237,442,699,556,257,0.9964422
5,2,car,686,1232,440,696,546,256,0.9955326
6,2,car,856,1173,484,627,317,143,0.9797113
7,2,car,856,1176,483,629,320,146,0.97331697
8,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,683,1234,440,700,551,260,0.9934957
1,2,car,682,1237,443,697,555,254,0.9964541
2,2,car,681,1239,441,697,558,256,0.995661
3,2,car,688,1237,442,694,549,252,0.99510527
4,2,car,686,1234,441,699,548,258,0.99215996
5,2,car,681,1237,442,699,556,257,0.9964422
6,2,car,686,1232,440,696,546,256,0.9955326
7,2,car,856,1173,484,627,317,143,0.9797113
8,2,car,856,1176,483,629,320,146,0.97331697
9,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,687,1236,441,698,549,257,0.99656916
1,2,car,683,1234,440,700,551,260,0.9934957
2,2,car,682,1237,443,697,555,254,0.9964541
3,2,car,681,1239,441,697,558,256,0.995661
4,2,car,688,1237,442,694,549,252,0.99510527
5,2,car,686,1234,441,699,548,258,0.99215996
6,2,car,681,1237,442,699,556,257,0.9964422
7,2,car,686,1232,440,696,546,256,0.9955326
8,2,car,856,1173,484,627,317,143,0.9797113
9,2,car,856,1176,483,629,320,146,0.97331697
10,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,690,1237,442,697,547,255,0.99478835
1,2,car,687,1236,441,698,549,257,0.99656916
2,2,car,683,1234,440,700,551,260,0.9934957
3,2,car,682,1237,443,697,555,254,0.9964541
4,2,car,681,1239,441,697,558,256,0.995661
5,2,car,688,1237,442,694,549,252,0.99510527
6,2,car,686,1234,441,699,548,258,0.99215996
7,2,car,681,1237,442,699,556,257,0.9964422
8,2,car,686,1232,440,696,546,256,0.9955326
9,2,car,856,1173,484,627,317,143,0.9797113
10,2,car,856,1176,483,629,320,146,0.97331697
11,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,682,1240,443,696,558,253,0.9943526
1,2,car,690,1237,442,697,547,255,0.99478835
2,2,car,687,1236,441,698,549,257,0.99656916
3,2,car,683,1234,440,700,551,260,0.9934957
4,2,car,682,1237,443,697,555,254,0.9964541
5,2,car,681,1239,441,697,558,256,0.995661
6,2,car,688,1237,442,694,549,252,0.99510527
7,2,car,686,1234,441,699,548,258,0.99215996
8,2,car,681,1237,442,699,556,257,0.9964422
9,2,car,686,1232,440,696,546,256,0.9955326
10,2,car,856,1173,484,627,317,143,0.9797113
11,2,car,856,1176,483,629,320,146,0.97331697
12,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,681,1239,442,692,558,250,0.9966463
1,2,car,682,1240,443,696,558,253,0.9943526
2,2,car,690,1237,442,697,547,255,0.99478835
3,2,car,687,1236,441,698,549,257,0.99656916
4,2,car,683,1234,440,700,551,260,0.9934957
5,2,car,682,1237,443,697,555,254,0.9964541
6,2,car,681,1239,441,697,558,256,0.995661
7,2,car,688,1237,442,694,549,252,0.99510527
8,2,car,686,1234,441,699,548,258,0.99215996
9,2,car,681,1237,442,699,556,257,0.9964422
10,2,car,686,1232,440,696,546,256,0.9955326
11,2,car,856,1173,484,627,317,143,0.9797113
12,2,car,856,1176,483,629,320,146,0.97331697
13,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,689,1235,442,698,546,256,0.9945594
1,2,car,681,1239,442,692,558,250,0.9966463
2,2,car,682,1240,443,696,558,253,0.9943526
3,2,car,690,1237,442,697,547,255,0.99478835
4,2,car,687,1236,441,698,549,257,0.99656916
5,2,car,683,1234,440,700,551,260,0.9934957
6,2,car,682,1237,443,697,555,254,0.9964541
7,2,car,681,1239,441,697,558,256,0.995661
8,2,car,688,1237,442,694,549,252,0.99510527
9,2,car,686,1234,441,699,548,258,0.99215996
10,2,car,681,1237,442,699,556,257,0.9964422
11,2,car,686,1232,440,696,546,256,0.9955326
12,2,car,856,1173,484,627,317,143,0.9797113
13,2,car,856,1176,483,629,320,146,0.97331697
14,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,682,1239,443,698,557,255,0.9933636
1,2,car,689,1235,442,698,546,256,0.9945594
2,2,car,681,1239,442,692,558,250,0.9966463
3,2,car,682,1240,443,696,558,253,0.9943526
4,2,car,690,1237,442,697,547,255,0.99478835
5,2,car,687,1236,441,698,549,257,0.99656916
6,2,car,683,1234,440,700,551,260,0.9934957
7,2,car,682,1237,443,697,555,254,0.9964541
8,2,car,681,1239,441,697,558,256,0.995661
9,2,car,688,1237,442,694,549,252,0.99510527
10,2,car,686,1234,441,699,548,258,0.99215996
11,2,car,681,1237,442,699,556,257,0.9964422
12,2,car,686,1232,440,696,546,256,0.9955326
13,2,car,856,1173,484,627,317,143,0.9797113
14,2,car,856,1176,483,629,320,146,0.97331697
15,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,680,1238,443,698,558,255,0.9952534
1,2,car,682,1239,443,698,557,255,0.9933636
2,2,car,689,1235,442,698,546,256,0.9945594
3,2,car,681,1239,442,692,558,250,0.9966463
4,2,car,682,1240,443,696,558,253,0.9943526
5,2,car,690,1237,442,697,547,255,0.99478835
6,2,car,687,1236,441,698,549,257,0.99656916
7,2,car,683,1234,440,700,551,260,0.9934957
8,2,car,682,1237,443,697,555,254,0.9964541
9,2,car,681,1239,441,697,558,256,0.995661
10,2,car,688,1237,442,694,549,252,0.99510527
11,2,car,686,1234,441,699,548,258,0.99215996
12,2,car,681,1237,442,699,556,257,0.9964422
13,2,car,686,1232,440,696,546,256,0.9955326
14,2,car,856,1173,484,627,317,143,0.9797113
15,2,car,856,1176,483,629,320,146,0.97331697
16,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,681,1240,441,699,559,258,0.996304
1,2,car,680,1238,443,698,558,255,0.9952534
2,2,car,682,1239,443,698,557,255,0.9933636
3,2,car,689,1235,442,698,546,256,0.9945594
4,2,car,681,1239,442,692,558,250,0.9966463
5,2,car,682,1240,443,696,558,253,0.9943526
6,2,car,690,1237,442,697,547,255,0.99478835
7,2,car,687,1236,441,698,549,257,0.99656916
8,2,car,683,1234,440,700,551,260,0.9934957
9,2,car,682,1237,443,697,555,254,0.9964541
10,2,car,681,1239,441,697,558,256,0.995661
11,2,car,688,1237,442,694,549,252,0.99510527
12,2,car,686,1234,441,699,548,258,0.99215996
13,2,car,681,1237,442,699,556,257,0.9964422
14,2,car,686,1232,440,696,546,256,0.9955326
15,2,car,856,1173,484,627,317,143,0.9797113
16,2,car,856,1176,483,629,320,146,0.97331697
17,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,687,1236,443,694,549,251,0.99598855
1,2,car,681,1240,441,699,559,258,0.996304
2,2,car,680,1238,443,698,558,255,0.9952534
3,2,car,682,1239,443,698,557,255,0.9933636
4,2,car,689,1235,442,698,546,256,0.9945594
5,2,car,681,1239,442,692,558,250,0.9966463
6,2,car,682,1240,443,696,558,253,0.9943526
7,2,car,690,1237,442,697,547,255,0.99478835
8,2,car,687,1236,441,698,549,257,0.99656916
9,2,car,683,1234,440,700,551,260,0.9934957
10,2,car,682,1237,443,697,555,254,0.9964541
11,2,car,681,1239,441,697,558,256,0.995661
12,2,car,688,1237,442,694,549,252,0.99510527
13,2,car,686,1234,441,699,548,258,0.99215996
14,2,car,681,1237,442,699,556,257,0.9964422
15,2,car,686,1232,440,696,546,256,0.9955326
16,2,car,856,1173,484,627,317,143,0.9797113
17,2,car,856,1176,483,629,320,146,0.97331697
18,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,682,1237,442,700,555,258,0.99446857
1,2,car,687,1236,443,694,549,251,0.99598855
2,2,car,681,1240,441,699,559,258,0.996304
3,2,car,680,1238,443,698,558,255,0.9952534
4,2,car,682,1239,443,698,557,255,0.9933636
5,2,car,689,1235,442,698,546,256,0.9945594
6,2,car,681,1239,442,692,558,250,0.9966463
7,2,car,682,1240,443,696,558,253,0.9943526
8,2,car,690,1237,442,697,547,255,0.99478835
9,2,car,687,1236,441,698,549,257,0.99656916
10,2,car,683,1234,440,700,551,260,0.9934957
11,2,car,682,1237,443,697,555,254,0.9964541
12,2,car,681,1239,441,697,558,256,0.995661
13,2,car,688,1237,442,694,549,252,0.99510527
14,2,car,686,1234,441,699,548,258,0.99215996
15,2,car,681,1237,442,699,556,257,0.9964422
16,2,car,686,1232,440,696,546,256,0.9955326
17,2,car,856,1173,484,627,317,143,0.9797113
18,2,car,856,1176,483,629,320,146,0.97331697
19,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,679,1239,442,699,560,257,0.99592584
1,2,car,682,1237,442,700,555,258,0.99446857
2,2,car,687,1236,443,694,549,251,0.99598855
3,2,car,681,1240,441,699,559,258,0.996304
4,2,car,680,1238,443,698,558,255,0.9952534
5,2,car,682,1239,443,698,557,255,0.9933636
6,2,car,689,1235,442,698,546,256,0.9945594
7,2,car,681,1239,442,692,558,250,0.9966463
8,2,car,682,1240,443,696,558,253,0.9943526
9,2,car,690,1237,442,697,547,255,0.99478835
10,2,car,687,1236,441,698,549,257,0.99656916
11,2,car,683,1234,440,700,551,260,0.9934957
12,2,car,682,1237,443,697,555,254,0.9964541
13,2,car,681,1239,441,697,558,256,0.995661
14,2,car,688,1237,442,694,549,252,0.99510527
15,2,car,686,1234,441,699,548,258,0.99215996
16,2,car,681,1237,442,699,556,257,0.9964422
17,2,car,686,1232,440,696,546,256,0.9955326
18,2,car,856,1173,484,627,317,143,0.9797113
19,2,car,856,1176,483,629,320,146,0.97331697
20,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,685,1239,441,699,554,258,0.9917766
1,2,car,679,1239,442,699,560,257,0.99592584
2,2,car,682,1237,442,700,555,258,0.99446857
3,2,car,687,1236,443,694,549,251,0.99598855
4,2,car,681,1240,441,699,559,258,0.996304
5,2,car,680,1238,443,698,558,255,0.9952534
6,2,car,682,1239,443,698,557,255,0.9933636
7,2,car,689,1235,442,698,546,256,0.9945594
8,2,car,681,1239,442,692,558,250,0.9966463
9,2,car,682,1240,443,696,558,253,0.9943526
10,2,car,690,1237,442,697,547,255,0.99478835
11,2,car,687,1236,441,698,549,257,0.99656916
12,2,car,683,1234,440,700,551,260,0.9934957
13,2,car,682,1237,443,697,555,254,0.9964541
14,2,car,681,1239,441,697,558,256,0.995661
15,2,car,688,1237,442,694,549,252,0.99510527
16,2,car,686,1234,441,699,548,258,0.99215996
17,2,car,681,1237,442,699,556,257,0.9964422
18,2,car,686,1232,440,696,546,256,0.9955326
19,2,car,856,1173,484,627,317,143,0.9797113
20,2,car,856,1176,483,629,320,146,0.97331697
21,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,680,1241,442,696,561,254,0.99537534
1,2,car,685,1239,441,699,554,258,0.9917766
2,2,car,679,1239,442,699,560,257,0.99592584
3,2,car,682,1237,442,700,555,258,0.99446857
4,2,car,687,1236,443,694,549,251,0.99598855
5,2,car,681,1240,441,699,559,258,0.996304
6,2,car,680,1238,443,698,558,255,0.9952534
7,2,car,682,1239,443,698,557,255,0.9933636
8,2,car,689,1235,442,698,546,256,0.9945594
9,2,car,681,1239,442,692,558,250,0.9966463
10,2,car,682,1240,443,696,558,253,0.9943526
11,2,car,690,1237,442,697,547,255,0.99478835
12,2,car,687,1236,441,698,549,257,0.99656916
13,2,car,683,1234,440,700,551,260,0.9934957
14,2,car,682,1237,443,697,555,254,0.9964541
15,2,car,681,1239,441,697,558,256,0.995661
16,2,car,688,1237,442,694,549,252,0.99510527
17,2,car,686,1234,441,699,548,258,0.99215996
18,2,car,681,1237,442,699,556,257,0.9964422
19,2,car,686,1232,440,696,546,256,0.9955326
20,2,car,856,1173,484,627,317,143,0.9797113
21,2,car,856,1176,483,629,320,146,0.97331697
22,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,685,1231,441,698,546,257,0.99531245
1,2,car,680,1241,442,696,561,254,0.99537534
2,2,car,685,1239,441,699,554,258,0.9917766
3,2,car,679,1239,442,699,560,257,0.99592584
4,2,car,682,1237,442,700,555,258,0.99446857
5,2,car,687,1236,443,694,549,251,0.99598855
6,2,car,681,1240,441,699,559,258,0.996304
7,2,car,680,1238,443,698,558,255,0.9952534
8,2,car,682,1239,443,698,557,255,0.9933636
9,2,car,689,1235,442,698,546,256,0.9945594
10,2,car,681,1239,442,692,558,250,0.9966463
11,2,car,682,1240,443,696,558,253,0.9943526
12,2,car,690,1237,442,697,547,255,0.99478835
13,2,car,687,1236,441,698,549,257,0.99656916
14,2,car,683,1234,440,700,551,260,0.9934957
15,2,car,682,1237,443,697,555,254,0.9964541
16,2,car,681,1239,441,697,558,256,0.995661
17,2,car,688,1237,442,694,549,252,0.99510527
18,2,car,686,1234,441,699,548,258,0.99215996
19,2,car,681,1237,442,699,556,257,0.9964422
20,2,car,686,1232,440,696,546,256,0.9955326
21,2,car,856,1173,484,627,317,143,0.9797113
22,2,car,856,1176,483,629,320,146,0.97331697
23,2,car,853,1171,485,628,318,143,0.97651446
0,2,car,686,1234,441,701,548,260,0.9950845
1,2,car,685,1231,441,698,546,257,0.99531245
2,2,car,680,1241,442,696,561,254,0.99537534
3,2,car,685,1239,441,699,554,258,0.9917766
4,2,car,679,1239,442,699,560,257,0.99592584
5,2,car,682,1237,442,700,555,258,0.99446857
6,2,car,687,1236,443,694,549,251,0.99598855
7,2,car,681,1240,441,699,559,258,0.996304
8,2,car,680,1238,443,698,558,255,0.9952534
9,2,car,682,1239,443,698,557,255,0.9933636
10,2,car,689,1235,442,698,546,256,0.9945594
11,2,car,681,1239,442,692,558,250,0.9966463
12,2,car,682,1240,443,696,558,253,0.9943526
13,2,car,690,1237,442,697,547,255,0.99478835
14,2,car,687,1236,441,698,549,257,0.99656916
